ID,Department Name,Parent Department/External ID
100000-101078-103632-100418-100357-101327-102122,CSB/CNSK/StoonSCC,100000-101078-103632-100418-100357-101327
100000-101078-103632-100418-105911,Passport Modernization,100000-101078-103632-100418
100000-101078-103632-100374,Benefits Delivery Services Br,100000-101078-103632
100000-101078-103632-100374-100397,BDSB/CC&SP/WT,100000-101078-103632-100374
100000-101078-103632-100374-100397-100408,Specialized Processing/Calgary,100000-101078-103632-100374-100397
100000-101078-103632-100374-100397-100408-102022,SP/CGY-C,100000-101078-103632-100374-100397-100408
100000-101078-103632-100374-100397-100408-104284,EI/Ops/Calgary-A,100000-101078-103632-100374-100397-100408
100000-101078-103632-100374-100397-100408-102024,Specialized Processing-D,100000-101078-103632-100374-100397-100408
100000-101078-103632-100374-100397-100408-102025,Specialized Processing-E,100000-101078-103632-100374-100397-100408
100000-101078-103632-100374-100397-100408-104286,EI/Ops/Calgary-C,100000-101078-103632-100374-100397-100408
100000-101078-103632-100374-100397-100408-102021,PD/G&C/Southern Alberta B,100000-101078-103632-100374-100397-100408
100000-101078-103632-100374-100397-100408-101987,Specialized Processing - A,100000-101078-103632-100374-100397-100408
100000-101078-103632-100374-100397-101436,Call Center/EI/Regina 2,100000-101078-103632-100374-100397
100000-101078-103632-100374-100397-101436-102012,Call Centre Regina-A,100000-101078-103632-100374-100397-101436
100000-101078-103632-100374-100397-101436-104500,ESDC / CC / Team Leader,100000-101078-103632-100374-100397-101436
100000-101078-103632-100374-100397-101436-102009,CC/EI/Regina-E,100000-101078-103632-100374-100397-101436
100000-101078-103632-100374-100397-101436-102014,Call Centre Regina-C,100000-101078-103632-100374-100397-101436
100000-101078-103632-100374-100397-101436-102006,CC/EI/Regina-A,100000-101078-103632-100374-100397-101436
100000-101078-103632-100374-100397-101326,Call Center/Pensions/Edmonton,100000-101078-103632-100374-100397
100000-101078-103632-100374-100397-101326-101995,CC/CPP/Edm 2-B,100000-101078-103632-100374-100397-101326
100000-101078-103632-100374-100397-101326-102001,CC/CPP/Edm 2-A,100000-101078-103632-100374-100397-101326
100000-101078-103632-100374-100397-101326-105475,CallCentre/EI/Edmonton13,100000-101078-103632-100374-100397-101326
100000-101078-103632-100374-100397-101326-105728,CallCentre/PEN/Edm6,100000-101078-103632-100374-100397-101326
100000-101078-103632-100374-100397-101326-102000,CC/EI/Edm 1A,100000-101078-103632-100374-100397-101326
100000-101078-103632-100374-100397-101326-103849,Call Centre CPP 2-C,100000-101078-103632-100374-100397-101326
100000-101078-103632-100374-100397-101529,Call Center/EI/Edmonton 2,100000-101078-103632-100374-100397
100000-101078-103632-100374-100397-101529-105476,CallCentre/EI/Edmonton14,100000-101078-103632-100374-100397-101529
100000-101078-103632-100374-100397-101529-101993,CC/EI/Edm4,100000-101078-103632-100374-100397-101529
100000-101078-103632-100374-100397-101529-101997,PPS BE PE OAS,100000-101078-103632-100374-100397-101529
100000-101078-103632-100374-100397-101412,Call Center/EI/Edmonton 1,100000-101078-103632-100374-100397
100000-101078-103632-100374-100397-101412-101999,CC/EI/Edm 2,100000-101078-103632-100374-100397-101412
100000-101078-103632-100374-100397-101412-103848,Call Centre EI Edm5,100000-101078-103632-100374-100397-101412
100000-101078-103632-100374-100397-101412-105969,CallCentre/EI/Edmonton15,100000-101078-103632-100374-100397-101412
100000-101078-103632-100374-100397-101412-102003,FS/Ops/Edm E,100000-101078-103632-100374-100397-101412
100000-101078-103632-100374-100397-101412-105474,CallCentre/EI/Edmonton12,100000-101078-103632-100374-100397-101412
100000-101078-103632-100374-100397-101412-105473,CallCentre/EI/Edmonton11,100000-101078-103632-100374-100397-101412
100000-101078-103632-100374-100397-101412-102005,CC/EI/Edm 3,100000-101078-103632-100374-100397-101412
100000-101078-103632-100374-100397-101412-103846,Call Centre EI Edm3,100000-101078-103632-100374-100397-101412
100000-101078-103632-100374-100397-101412-101998,FS/Ops/Edm D,100000-101078-103632-100374-100397-101412
100000-101078-103632-100374-100397-101412-102002,CC/CPP/Edm 2 D,100000-101078-103632-100374-100397-101412
100000-101078-103632-100374-100397-101532,Call Center/Employer Contact C,100000-101078-103632-100374-100397
100000-101078-103632-100374-100397-101532-101989,CC/ECC/Van-A,100000-101078-103632-100374-100397-101532
100000-101078-103632-100374-100397-101532-101991,CC/ECC/Van-C,100000-101078-103632-100374-100397-101532
100000-101078-103632-100374-100397-101532-101992,CC/ECC/Van-D,100000-101078-103632-100374-100397-101532
100000-101078-103632-100374-100397-101419,Call Center/Pensions/Winnipeg,100000-101078-103632-100374-100397
100000-101078-103632-100374-100397-101419-102016,CC/CPP&OAS/wpg-B,100000-101078-103632-100374-100397-101419
100000-101078-103632-100374-100397-101419-102017,CC/CPP&OAS/wpg-D,100000-101078-103632-100374-100397-101419
100000-101078-103632-100374-100397-101419-102015,CC/CPP&OAS/wpg-A,100000-101078-103632-100374-100397-101419
100000-101078-103632-100374-100397-101419-102013,CC/CPP&OAS/wpg-H,100000-101078-103632-100374-100397-101419
100000-101078-103632-100374-100397-101419-105098,CC/CPP&OAS/wpg-G,100000-101078-103632-100374-100397-101419
100000-101078-103632-100374-100397-101419-102018,CC/CPP&OAS/wpg-E,100000-101078-103632-100374-100397-101419
100000-101078-103632-100374-100397-101419-102019,CC/CPP&OAS/wpg-F,100000-101078-103632-100374-100397-101419
100000-101078-103632-100374-100397-104857,Call Center/EI/Regina 1,100000-101078-103632-100374-100397
